Overriding config with config/train_23S_pairs_0_18_6_300_rot2_flash.py:
# train 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'scratch' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '23S'
wandb_run_name = 'pairs'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
basename = '23S_pairs'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 18
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 3e-5 # with baby networks can afford to go a bit higher
max_iters = 1500000
lr_decay_iters = 50000 # make equal to max_iters usually, but not always.
min_lr = 3e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Thu Feb 22 23:23:04 2024
grad_clip= 1.0
found vocab_size = 25 (inside /home/ubuntu/software/jamie_rna_llm/data/23S_pairs_meta.pkl)
Initializing a new model from scratch
number of parameters: 19.46M
compiling the model... (takes a ~minute)
iter 970: loss 1.3800, time 117.09ms, mfu 2.66%
iter 980: loss 1.3825, time 117.22ms, mfu 2.66%
iter 990: loss 1.3702, time 117.20ms, mfu 2.66%
step 1000: train loss 1.3096, val loss 1.3187
iter 1000: loss 1.2554, time 18121.48ms, mfu 2.40%
iter 1010: loss 1.2586, time 115.96ms, mfu 2.43%
iter 1020: loss 1.2582, time 117.06ms, mfu 2.45%
iter 1030: loss 1.3796, time 116.43ms, mfu 2.48%
iter 1040: loss 1.3744, time 115.90ms, mfu 2.50%
iter 1050: loss 1.3255, time 117.15ms, mfu 2.52%
iter 1060: loss 1.3750, time 116.76ms, mfu 2.54%
iter 1070: loss 1.2077, time 118.16ms, mfu 2.55%
iter 1080: loss 1.3686, time 117.41ms, mfu 2.56%
iter 1090: loss 1.2042, time 117.11ms, mfu 2.57%
iter 1100: loss 1.3199, time 116.13ms, mfu 2.58%
iter 1110: loss 1.3215, time 117.09ms, mfu 2.59%
iter 1120: loss 1.3431, time 117.15ms, mfu 2.60%
iter 1130: loss 1.3246, time 117.22ms, mfu 2.61%
iter 1140: loss 1.3853, time 117.27ms, mfu 2.62%
iter 1150: loss 1.3125, time 116.98ms, mfu 2.62%
iter 1160: loss 1.3696, time 116.49ms, mfu 2.63%
iter 1170: loss 1.3116, time 117.34ms, mfu 2.63%
iter 1180: loss 1.3122, time 116.88ms, mfu 2.64%
iter 1190: loss 1.3757, time 116.17ms, mfu 2.65%
iter 1200: loss 1.3032, time 117.07ms, mfu 2.65%
iter 1210: loss 1.3104, time 116.05ms, mfu 2.65%
iter 1220: loss 1.3732, time 116.25ms, mfu 2.66%
iter 1230: loss 1.3128, time 116.55ms, mfu 2.66%
iter 1240: loss 1.2974, time 116.55ms, mfu 2.67%
step 1250: train loss 1.3010, val loss 1.3093
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_rot2_flash.pt
iter 1250: loss 1.3695, time 19281.49ms, mfu 2.40%
iter 1260: loss 1.2963, time 116.05ms, mfu 2.43%
iter 1270: loss 1.3736, time 117.26ms, mfu 2.46%
iter 1280: loss 1.3748, time 117.00ms, mfu 2.48%
iter 1290: loss 1.2554, time 116.09ms, mfu 2.50%
iter 1300: loss 1.3064, time 116.63ms, mfu 2.52%
iter 1310: loss 1.2771, time 116.17ms, mfu 2.54%
iter 1320: loss 1.2566, time 116.26ms, mfu 2.55%
iter 1330: loss 1.3354, time 116.12ms, mfu 2.57%
iter 1340: loss 1.3027, time 117.29ms, mfu 2.58%
iter 1350: loss 1.3186, time 117.97ms, mfu 2.59%
iter 1360: loss 1.3149, time 117.28ms, mfu 2.60%
iter 1370: loss 1.3677, time 117.30ms, mfu 2.60%
iter 1380: loss 1.2696, time 117.19ms, mfu 2.61%
iter 1390: loss 1.2250, time 116.88ms, mfu 2.62%
iter 1400: loss 1.3724, time 116.95ms, mfu 2.63%
iter 1410: loss 1.3122, time 116.03ms, mfu 2.63%
iter 1420: loss 1.3234, time 116.32ms, mfu 2.64%
iter 1430: loss 1.3676, time 117.04ms, mfu 2.64%
iter 1440: loss 1.2342, time 117.39ms, mfu 2.65%
iter 1450: loss 1.3783, time 116.10ms, mfu 2.65%
iter 1460: loss 1.2318, time 116.05ms, mfu 2.66%
iter 1470: loss 1.3708, time 116.01ms, mfu 2.66%
iter 1480: loss 1.2701, time 115.88ms, mfu 2.67%
iter 1490: loss 1.2301, time 116.65ms, mfu 2.67%
step 1500: train loss 1.2977, val loss 1.3047
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_rot2_flash.pt
iter 1500: loss 1.2501, time 19245.87ms, mfu 2.40%
iter 1510: loss 1.2580, time 116.56ms, mfu 2.43%
iter 1520: loss 1.1700, time 115.85ms, mfu 2.46%
iter 1530: loss 1.1934, time 115.84ms, mfu 2.48%
iter 1540: loss 1.1840, time 117.25ms, mfu 2.50%
iter 1550: loss 1.3170, time 116.88ms, mfu 2.52%
iter 1560: loss 1.1788, time 116.91ms, mfu 2.54%
iter 1570: loss 1.0931, time 116.19ms, mfu 2.55%
iter 1580: loss 1.2552, time 116.84ms, mfu 2.57%
iter 1590: loss 1.2104, time 117.07ms, mfu 2.58%
iter 1600: loss 1.3698, time 117.07ms, mfu 2.59%
iter 1610: loss 1.3681, time 116.77ms, mfu 2.60%
iter 1620: loss 1.3191, time 117.32ms, mfu 2.61%
iter 1630: loss 1.3715, time 116.98ms, mfu 2.61%
iter 1640: loss 1.3171, time 116.87ms, mfu 2.62%
iter 1650: loss 1.3089, time 117.28ms, mfu 2.63%
iter 1660: loss 1.2450, time 117.29ms, mfu 2.63%
iter 1670: loss 1.3714, time 116.84ms, mfu 2.64%
iter 1680: loss 1.2994, time 116.83ms, mfu 2.64%
iter 1690: loss 1.2579, time 116.11ms, mfu 2.65%
iter 1700: loss 1.3115, time 117.41ms, mfu 2.65%
iter 1710: loss 1.3759, time 117.54ms, mfu 2.65%
iter 1720: loss 1.3713, time 117.25ms, mfu 2.65%
iter 1730: loss 1.3173, time 117.23ms, mfu 2.66%
iter 1740: loss 1.2652, time 117.25ms, mfu 2.66%
step 1750: train loss 1.3038, val loss 1.3037
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_rot2_flash.pt
iter 1750: loss 1.3714, time 19337.34ms, mfu 2.39%
iter 1760: loss 1.3051, time 117.49ms, mfu 2.42%
iter 1770: loss 1.3327, time 116.06ms, mfu 2.45%
iter 1780: loss 1.2956, time 117.13ms, mfu 2.47%
iter 1790: loss 1.3151, time 116.91ms, mfu 2.49%
iter 1800: loss 1.3719, time 116.56ms, mfu 2.51%
iter 1810: loss 1.3682, time 116.38ms, mfu 2.53%
iter 1820: loss 1.3319, time 115.92ms, mfu 2.55%
iter 1830: loss 1.3109, time 116.10ms, mfu 2.56%
iter 1840: loss 1.2445, time 116.49ms, mfu 2.58%
iter 1850: loss 1.3106, time 116.34ms, mfu 2.59%
iter 1860: loss 1.6131, time 116.53ms, mfu 2.60%
iter 1870: loss 1.3674, time 116.85ms, mfu 2.61%
iter 1880: loss 1.3733, time 116.25ms, mfu 2.62%
iter 1890: loss 1.1406, time 115.84ms, mfu 2.63%
iter 1900: loss 1.3680, time 117.33ms, mfu 2.63%
iter 1910: loss 1.3665, time 116.09ms, mfu 2.64%
iter 1920: loss 1.1203, time 116.21ms, mfu 2.64%
iter 1930: loss 1.3012, time 116.06ms, mfu 2.65%
iter 1940: loss 1.3686, time 117.18ms, mfu 2.65%
iter 1950: loss 1.2666, time 115.93ms, mfu 2.66%
iter 1960: loss 1.1679, time 117.23ms, mfu 2.66%
iter 1970: loss 1.2363, time 115.91ms, mfu 2.67%
iter 1980: loss 1.3662, time 115.82ms, mfu 2.67%
iter 1990: loss 1.3716, time 116.38ms, mfu 2.67%
step 2000: train loss 1.3014, val loss 1.3061
iter 2000: loss 1.3702, time 18124.68ms, mfu 2.41%
iter 2010: loss 1.3240, time 117.01ms, mfu 2.43%
iter 2020: loss 1.3284, time 117.31ms, mfu 2.46%
iter 2030: loss 1.2973, time 117.37ms, mfu 2.48%
iter 2040: loss 1.3215, time 117.05ms, mfu 2.50%
iter 2050: loss 1.3697, time 117.46ms, mfu 2.52%
iter 2060: loss 1.3686, time 117.25ms, mfu 2.53%
iter 2070: loss 1.3656, time 117.43ms, mfu 2.55%
iter 2080: loss 1.2425, time 117.25ms, mfu 2.56%
iter 2090: loss 1.3064, time 117.43ms, mfu 2.57%
iter 2100: loss 1.1871, time 117.33ms, mfu 2.58%
iter 2110: loss 1.2430, time 117.34ms, mfu 2.59%
iter 2120: loss 1.3712, time 117.35ms, mfu 2.60%
iter 2130: loss 1.1900, time 117.07ms, mfu 2.61%
iter 2140: loss 1.3211, time 117.49ms, mfu 2.61%
iter 2150: loss 1.3278, time 117.23ms, mfu 2.62%
iter 2160: loss 1.3162, time 117.04ms, mfu 2.63%
iter 2170: loss 1.3689, time 117.08ms, mfu 2.63%
iter 2180: loss 1.3305, time 117.50ms, mfu 2.64%
iter 2190: loss 1.2616, time 117.49ms, mfu 2.64%
iter 2200: loss 1.3217, time 117.05ms, mfu 2.64%
iter 2210: loss 1.1827, time 117.56ms, mfu 2.65%
iter 2220: loss 1.3077, time 117.38ms, mfu 2.65%
iter 2230: loss 1.2512, time 116.69ms, mfu 2.65%
iter 2240: loss 1.2612, time 117.23ms, mfu 2.65%
step 2250: train loss 1.3058, val loss 1.3023
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_rot2_flash.pt
iter 2250: loss 1.2415, time 19485.45ms, mfu 2.39%
iter 2260: loss 1.3127, time 117.44ms, mfu 2.42%
iter 2270: loss 1.3732, time 117.57ms, mfu 2.44%
iter 2280: loss 1.3643, time 117.12ms, mfu 2.47%
iter 2290: loss 1.2673, time 117.28ms, mfu 2.49%
iter 2300: loss 1.3700, time 117.56ms, mfu 2.51%
iter 2310: loss 1.3039, time 117.46ms, mfu 2.52%
iter 2320: loss 1.3660, time 117.55ms, mfu 2.54%
iter 2330: loss 1.3682, time 117.22ms, mfu 2.55%
iter 2340: loss 1.3322, time 117.35ms, mfu 2.56%
iter 2350: loss 1.3653, time 117.46ms, mfu 2.57%
iter 2360: loss 1.1276, time 117.49ms, mfu 2.58%
iter 2370: loss 1.3635, time 117.33ms, mfu 2.59%
iter 2380: loss 1.3167, time 117.46ms, mfu 2.60%
iter 2390: loss 1.2949, time 117.40ms, mfu 2.61%
iter 2400: loss 1.2378, time 117.11ms, mfu 2.62%
iter 2410: loss 1.3307, time 117.37ms, mfu 2.62%
iter 2420: loss 1.1944, time 117.10ms, mfu 2.63%
iter 2430: loss 1.3101, time 117.56ms, mfu 2.63%
iter 2440: loss 1.2499, time 117.59ms, mfu 2.63%
iter 2450: loss 1.2720, time 117.41ms, mfu 2.64%
iter 2460: loss 1.2385, time 117.32ms, mfu 2.64%
iter 2470: loss 1.1795, time 117.36ms, mfu 2.65%
iter 2480: loss 1.3196, time 117.01ms, mfu 2.65%
iter 2490: loss 1.3067, time 116.71ms, mfu 2.65%
step 2500: train loss 1.3019, val loss 1.3015
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_rot2_flash.pt
iter 2500: loss 1.2202, time 19371.26ms, mfu 2.39%
iter 2510: loss 1.2797, time 116.51ms, mfu 2.42%
iter 2520: loss 1.1922, time 117.14ms, mfu 2.45%
iter 2530: loss 1.2383, time 116.05ms, mfu 2.47%
iter 2540: loss 1.2406, time 116.10ms, mfu 2.49%
iter 2550: loss 1.2019, time 116.01ms, mfu 2.52%
iter 2560: loss 1.2329, time 116.33ms, mfu 2.53%
iter 2570: loss 1.2534, time 117.32ms, mfu 2.55%
iter 2580: loss 1.2656, time 117.22ms, mfu 2.56%
iter 2590: loss 1.3689, time 116.04ms, mfu 2.58%
iter 2600: loss 1.3673, time 116.06ms, mfu 2.59%
iter 2610: loss 1.2985, time 117.06ms, mfu 2.60%
iter 2620: loss 1.3642, time 116.41ms, mfu 2.61%
iter 2630: loss 1.2324, time 116.67ms, mfu 2.62%
iter 2640: loss 1.2909, time 117.00ms, mfu 2.62%
iter 2650: loss 1.3699, time 116.11ms, mfu 2.63%
iter 2660: loss 1.3230, time 116.37ms, mfu 2.64%
iter 2670: loss 1.2505, time 117.20ms, mfu 2.64%
iter 2680: loss 1.2701, time 116.70ms, mfu 2.65%
iter 2690: loss 1.3625, time 116.69ms, mfu 2.65%
iter 2700: loss 1.3235, time 116.59ms, mfu 2.65%
iter 2710: loss 1.3679, time 116.19ms, mfu 2.66%
iter 2720: loss 1.3719, time 117.26ms, mfu 2.66%
iter 2730: loss 1.3290, time 115.86ms, mfu 2.67%
iter 2740: loss 1.3116, time 116.07ms, mfu 2.67%
step 2750: train loss 1.3070, val loss 1.3034
iter 2750: loss 1.3649, time 18034.64ms, mfu 2.40%
iter 2760: loss 1.2936, time 116.24ms, mfu 2.43%
iter 2770: loss 1.3716, time 116.50ms, mfu 2.46%
iter 2780: loss 1.3663, time 116.48ms, mfu 2.48%
iter 2790: loss 1.1393, time 116.41ms, mfu 2.50%
iter 2800: loss 1.3697, time 116.22ms, mfu 2.52%
iter 2810: loss 1.2014, time 115.83ms, mfu 2.54%
iter 2820: loss 1.3180, time 116.31ms, mfu 2.56%
iter 2830: loss 1.3050, time 116.05ms, mfu 2.57%
iter 2840: loss 1.2471, time 116.03ms, mfu 2.59%
iter 2850: loss 1.3201, time 116.60ms, mfu 2.60%
iter 2860: loss 1.3175, time 116.30ms, mfu 2.61%
iter 2870: loss 1.2557, time 116.24ms, mfu 2.62%
iter 2880: loss 1.2172, time 116.15ms, mfu 2.62%
iter 2890: loss 1.3687, time 116.28ms, mfu 2.63%
iter 2900: loss 1.2636, time 116.51ms, mfu 2.64%
iter 2910: loss 1.2318, time 117.25ms, mfu 2.64%
iter 2920: loss 1.2615, time 116.06ms, mfu 2.65%
iter 2930: loss 1.3755, time 116.44ms, mfu 2.65%
iter 2940: loss 1.1927, time 115.85ms, mfu 2.66%
iter 2950: loss 1.3641, time 116.63ms, mfu 2.66%
iter 2960: loss 1.3648, time 115.87ms, mfu 2.67%
iter 2970: loss 1.2992, time 116.03ms, mfu 2.67%
iter 2980: loss 1.3699, time 116.40ms, mfu 2.67%
iter 2990: loss 1.3659, time 116.33ms, mfu 2.67%
step 3000: train loss 1.2979, val loss 1.3095
iter 3000: loss 1.3033, time 18044.48ms, mfu 2.41%
iter 3010: loss 1.3693, time 116.20ms, mfu 2.44%
iter 3020: loss 1.3664, time 116.05ms, mfu 2.46%
iter 3030: loss 1.3158, time 115.97ms, mfu 2.49%
iter 3040: loss 1.2577, time 116.08ms, mfu 2.51%
iter 3050: loss 1.3623, time 116.57ms, mfu 2.53%
iter 3060: loss 1.3676, time 116.09ms, mfu 2.55%
iter 3070: loss 1.2394, time 115.92ms, mfu 2.56%
iter 3080: loss 1.2572, time 115.82ms, mfu 2.58%
iter 3090: loss 1.3680, time 116.09ms, mfu 2.59%
iter 3100: loss 1.3639, time 115.92ms, mfu 2.60%
iter 3110: loss 1.3052, time 116.07ms, mfu 2.61%
iter 3120: loss 1.3066, time 116.06ms, mfu 2.62%
iter 3130: loss 1.3248, time 116.13ms, mfu 2.63%
iter 3140: loss 1.3350, time 116.43ms, mfu 2.64%
iter 3150: loss 1.2393, time 115.98ms, mfu 2.64%
iter 3160: loss 1.2348, time 116.95ms, mfu 2.65%
iter 3170: loss 1.3707, time 116.01ms, mfu 2.65%
iter 3180: loss 1.1048, time 116.45ms, mfu 2.66%
iter 3190: loss 1.3152, time 116.88ms, mfu 2.66%
iter 3200: loss 1.3632, time 116.61ms, mfu 2.66%
iter 3210: loss 1.2548, time 115.95ms, mfu 2.67%
iter 3220: loss 1.3214, time 115.93ms, mfu 2.67%
iter 3230: loss 1.3602, time 115.92ms, mfu 2.67%
iter 3240: loss 1.2947, time 115.99ms, mfu 2.68%
step 3250: train loss 1.2918, val loss 1.3034
iter 3250: loss 1.2417, time 18094.64ms, mfu 2.41%
iter 3260: loss 1.1676, time 116.71ms, mfu 2.44%
iter 3270: loss 1.3095, time 117.21ms, mfu 2.46%
iter 3280: loss 1.2930, time 117.13ms, mfu 2.48%
iter 3290: loss 1.2768, time 116.76ms, mfu 2.50%
iter 3300: loss 1.2484, time 117.05ms, mfu 2.52%
iter 3310: loss 1.2479, time 117.36ms, mfu 2.54%
iter 3320: loss 1.2489, time 117.45ms, mfu 2.55%
iter 3330: loss 1.3277, time 117.34ms, mfu 2.56%
iter 3340: loss 1.3663, time 117.05ms, mfu 2.58%
iter 3350: loss 1.3193, time 116.99ms, mfu 2.59%
iter 3360: loss 1.2682, time 117.32ms, mfu 2.59%
iter 3370: loss 1.2443, time 117.01ms, mfu 2.60%
iter 3380: loss 1.3746, time 116.84ms, mfu 2.61%
iter 3390: loss 1.2492, time 117.26ms, mfu 2.62%
iter 3400: loss 1.2969, time 117.35ms, mfu 2.62%
iter 3410: loss 1.2532, time 117.11ms, mfu 2.63%
iter 3420: loss 1.2936, time 116.63ms, mfu 2.64%
iter 3430: loss 1.3650, time 116.74ms, mfu 2.64%
iter 3440: loss 1.3093, time 116.93ms, mfu 2.64%
iter 3450: loss 1.3704, time 116.34ms, mfu 2.65%
iter 3460: loss 1.3646, time 116.93ms, mfu 2.65%
iter 3470: loss 1.3669, time 116.82ms, mfu 2.66%
