Overriding config with config/train_23S_single_0_18_6_300_abs2_flash.py:
# train 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'scratch' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '23S'
wandb_run_name = 'single'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
basename = '23S_single'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 18
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 5e-5 # with baby networks can afford to go a bit higher
max_iters = 100000
lr_decay_iters = 100000 # make equal to max_iters usually, but not always.
min_lr = 5e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Tue Feb 27 16:31:57 2024
grad_clip= 1.0
found vocab_size = 7 (inside /home/ubuntu/software/jamie_rna_llm/data/23S_single_meta.pkl)
Initializing a new model from scratch
number of parameters: 19.45M
compiling the model... (takes a ~minute)
iter 1390: loss 1.3151, time 104.72ms, mfu 2.94%
iter 1400: loss 1.3749, time 105.24ms, mfu 2.94%
iter 1410: loss 1.2576, time 104.66ms, mfu 2.95%
iter 1420: loss 1.1830, time 105.05ms, mfu 2.95%
iter 1430: loss 1.3089, time 104.94ms, mfu 2.95%
iter 1440: loss 1.2388, time 105.34ms, mfu 2.96%
iter 1450: loss 1.3150, time 105.23ms, mfu 2.96%
iter 1460: loss 1.3788, time 105.27ms, mfu 2.96%
iter 1470: loss 1.4228, time 105.21ms, mfu 2.96%
iter 1480: loss 1.2095, time 105.04ms, mfu 2.97%
iter 1490: loss 1.3026, time 105.03ms, mfu 2.97%
step 1500: train loss 1.3016, val loss 1.3038
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_single_0_18_6_300_abs2_flash.pt
iter 1500: loss 1.1176, time 18114.18ms, mfu 2.67%
iter 1510: loss 1.3125, time 105.16ms, mfu 2.70%
iter 1520: loss 1.3738, time 105.32ms, mfu 2.73%
iter 1530: loss 1.2350, time 105.17ms, mfu 2.76%
iter 1540: loss 1.2776, time 105.36ms, mfu 2.78%
iter 1550: loss 1.3266, time 105.33ms, mfu 2.80%
iter 1560: loss 1.3370, time 105.16ms, mfu 2.82%
iter 1570: loss 1.1871, time 105.16ms, mfu 2.83%
iter 1580: loss 1.3759, time 105.34ms, mfu 2.85%
iter 1590: loss 1.3139, time 105.28ms, mfu 2.86%
iter 1600: loss 1.3764, time 105.17ms, mfu 2.87%
iter 1610: loss 1.3777, time 104.32ms, mfu 2.89%
iter 1620: loss 1.2115, time 105.16ms, mfu 2.90%
iter 1630: loss 1.3752, time 104.98ms, mfu 2.91%
iter 1640: loss 1.3709, time 104.49ms, mfu 2.92%
iter 1650: loss 1.3775, time 104.65ms, mfu 2.92%
iter 1660: loss 1.1901, time 104.59ms, mfu 2.93%
iter 1670: loss 1.3755, time 104.40ms, mfu 2.94%
iter 1680: loss 1.3160, time 103.94ms, mfu 2.95%
iter 1690: loss 1.2569, time 103.95ms, mfu 2.95%
iter 1700: loss 1.2814, time 104.73ms, mfu 2.96%
iter 1710: loss 1.3774, time 104.10ms, mfu 2.96%
iter 1720: loss 1.3750, time 103.85ms, mfu 2.97%
iter 1730: loss 1.3217, time 103.78ms, mfu 2.97%
iter 1740: loss 1.3791, time 104.00ms, mfu 2.98%
step 1750: train loss 1.3123, val loss 1.3004
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_single_0_18_6_300_abs2_flash.pt
iter 1750: loss 1.3764, time 17972.95ms, mfu 2.68%
iter 1760: loss 1.3763, time 103.92ms, mfu 2.72%
iter 1770: loss 1.3796, time 103.87ms, mfu 2.75%
iter 1780: loss 1.3713, time 103.99ms, mfu 2.77%
iter 1790: loss 1.1904, time 104.11ms, mfu 2.80%
iter 1800: loss 1.3176, time 103.89ms, mfu 2.82%
iter 1810: loss 1.3203, time 103.98ms, mfu 2.84%
iter 1820: loss 1.3755, time 103.93ms, mfu 2.86%
iter 1830: loss 1.3748, time 103.77ms, mfu 2.87%
iter 1840: loss 1.3745, time 103.83ms, mfu 2.89%
iter 1850: loss 1.2768, time 103.89ms, mfu 2.90%
iter 1860: loss 1.2274, time 104.08ms, mfu 2.91%
iter 1870: loss 1.2816, time 103.92ms, mfu 2.92%
iter 1880: loss 1.1056, time 103.87ms, mfu 2.93%
iter 1890: loss 1.3428, time 103.80ms, mfu 2.94%
iter 1900: loss 1.3744, time 103.86ms, mfu 2.95%
iter 1910: loss 1.3770, time 104.25ms, mfu 2.96%
iter 1920: loss 1.3758, time 103.86ms, mfu 2.96%
iter 1930: loss 1.3776, time 103.87ms, mfu 2.97%
iter 1940: loss 1.3821, time 103.96ms, mfu 2.97%
iter 1950: loss 1.3808, time 103.92ms, mfu 2.98%
iter 1960: loss 1.3775, time 103.88ms, mfu 2.98%
iter 1970: loss 1.3764, time 104.32ms, mfu 2.98%
iter 1980: loss 1.3819, time 104.24ms, mfu 2.99%
iter 1990: loss 1.3748, time 104.23ms, mfu 2.99%
step 2000: train loss 1.3731, val loss 1.3779
iter 2000: loss 1.3759, time 16767.82ms, mfu 2.69%
iter 2010: loss 1.3738, time 103.88ms, mfu 2.72%
iter 2020: loss 1.3759, time 103.77ms, mfu 2.75%
iter 2030: loss 1.3758, time 103.76ms, mfu 2.78%
iter 2040: loss 1.3785, time 103.85ms, mfu 2.81%
iter 2050: loss 1.3755, time 104.63ms, mfu 2.82%
iter 2060: loss 1.3766, time 104.37ms, mfu 2.84%
iter 2070: loss 1.3821, time 104.73ms, mfu 2.86%
iter 2080: loss 1.3709, time 105.44ms, mfu 2.87%
iter 2090: loss 1.3777, time 104.38ms, mfu 2.88%
iter 2100: loss 1.3750, time 104.70ms, mfu 2.89%
iter 2110: loss 1.3748, time 104.13ms, mfu 2.91%
iter 2120: loss 1.3777, time 104.41ms, mfu 2.92%
iter 2130: loss 1.3754, time 105.17ms, mfu 2.92%
iter 2140: loss 1.3742, time 105.17ms, mfu 2.93%
iter 2150: loss 1.3805, time 105.36ms, mfu 2.93%
iter 2160: loss 1.3797, time 105.42ms, mfu 2.94%
iter 2170: loss 1.3767, time 105.16ms, mfu 2.94%
iter 2180: loss 1.3756, time 105.22ms, mfu 2.95%
iter 2190: loss 1.3767, time 105.36ms, mfu 2.95%
iter 2200: loss 1.3743, time 105.22ms, mfu 2.95%
iter 2210: loss 1.3751, time 105.19ms, mfu 2.96%
iter 2220: loss 1.3731, time 104.83ms, mfu 2.96%
iter 2230: loss 1.3717, time 104.95ms, mfu 2.96%
iter 2240: loss 1.3733, time 105.30ms, mfu 2.96%
