Overriding config with config/train_23S_pairs_0_18_6_300_abs2_flash.py:
# train 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'scratch' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '23S'
wandb_run_name = 'pairs'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
basename = '23S_pairs'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 18
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 5e-5 # with baby networks can afford to go a bit higher
max_iters = 1500000
lr_decay_iters =  50000 # make equal to max_iters usually, but not always.
min_lr = 5e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Thu Feb 22 22:07:33 2024
grad_clip= 1.0
found vocab_size = 25 (inside /home/ubuntu/software/jamie_rna_llm/data/23S_pairs_meta.pkl)
Initializing a new model from scratch
number of parameters: 19.46M
compiling the model... (takes a ~minute)
iter 1260: loss 1.3048, time 103.98ms, mfu 2.73%
iter 1270: loss 1.3690, time 103.99ms, mfu 2.76%
iter 1280: loss 1.2824, time 103.96ms, mfu 2.78%
iter 1290: loss 1.3200, time 104.18ms, mfu 2.80%
iter 1300: loss 1.3683, time 104.05ms, mfu 2.83%
iter 1310: loss 1.3315, time 104.05ms, mfu 2.84%
iter 1320: loss 1.3685, time 104.03ms, mfu 2.86%
iter 1330: loss 1.2578, time 104.00ms, mfu 2.88%
iter 1340: loss 1.2484, time 103.91ms, mfu 2.89%
iter 1350: loss 1.1947, time 103.97ms, mfu 2.90%
iter 1360: loss 1.3679, time 104.05ms, mfu 2.92%
iter 1370: loss 1.3734, time 104.01ms, mfu 2.93%
iter 1380: loss 1.3663, time 103.98ms, mfu 2.93%
iter 1390: loss 1.3296, time 103.96ms, mfu 2.94%
iter 1400: loss 1.2678, time 104.39ms, mfu 2.95%
iter 1410: loss 1.3166, time 103.99ms, mfu 2.96%
iter 1420: loss 1.3640, time 103.99ms, mfu 2.96%
iter 1430: loss 1.3276, time 104.04ms, mfu 2.97%
iter 1440: loss 1.3650, time 104.04ms, mfu 2.97%
iter 1450: loss 1.2651, time 103.94ms, mfu 2.98%
iter 1460: loss 1.3705, time 104.02ms, mfu 2.98%
iter 1470: loss 1.2766, time 103.97ms, mfu 2.98%
iter 1480: loss 1.0165, time 103.89ms, mfu 2.99%
iter 1490: loss 1.3286, time 103.96ms, mfu 2.99%
step 1500: train loss 1.2974, val loss 1.3106
iter 1500: loss 1.2650, time 16985.84ms, mfu 2.69%
iter 1510: loss 1.1311, time 103.98ms, mfu 2.73%
iter 1520: loss 1.3178, time 104.01ms, mfu 2.76%
iter 1530: loss 1.2931, time 104.00ms, mfu 2.78%
iter 1540: loss 1.2810, time 104.00ms, mfu 2.81%
iter 1550: loss 1.2588, time 103.96ms, mfu 2.83%
iter 1560: loss 1.3041, time 103.97ms, mfu 2.85%
iter 1570: loss 1.3751, time 104.01ms, mfu 2.86%
iter 1580: loss 1.2980, time 104.06ms, mfu 2.88%
iter 1590: loss 1.3657, time 103.99ms, mfu 2.89%
iter 1600: loss 1.2437, time 104.07ms, mfu 2.90%
iter 1610: loss 1.2558, time 104.04ms, mfu 2.92%
iter 1620: loss 1.3692, time 104.04ms, mfu 2.93%
iter 1630: loss 1.3677, time 104.00ms, mfu 2.93%
iter 1640: loss 1.3289, time 104.00ms, mfu 2.94%
iter 1650: loss 1.3197, time 104.11ms, mfu 2.95%
iter 1660: loss 1.2644, time 104.02ms, mfu 2.96%
iter 1670: loss 1.3317, time 103.99ms, mfu 2.96%
iter 1680: loss 1.2249, time 104.07ms, mfu 2.97%
iter 1690: loss 1.3726, time 104.01ms, mfu 2.97%
iter 1700: loss 1.6182, time 104.08ms, mfu 2.98%
iter 1710: loss 1.2308, time 104.05ms, mfu 2.98%
iter 1720: loss 1.3739, time 104.02ms, mfu 2.98%
iter 1730: loss 1.3689, time 104.16ms, mfu 2.99%
iter 1740: loss 1.2183, time 103.96ms, mfu 2.99%
step 1750: train loss 1.2987, val loss 1.3001
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_abs2_flash.pt
iter 1750: loss 1.3724, time 18129.95ms, mfu 2.69%
iter 1760: loss 1.3715, time 104.07ms, mfu 2.73%
iter 1770: loss 1.2531, time 103.99ms, mfu 2.75%
iter 1780: loss 1.3115, time 103.99ms, mfu 2.78%
iter 1790: loss 1.3707, time 104.00ms, mfu 2.80%
iter 1800: loss 1.3185, time 104.01ms, mfu 2.83%
iter 1810: loss 1.2446, time 104.02ms, mfu 2.84%
iter 1820: loss 1.2765, time 104.02ms, mfu 2.86%
