Overriding config with config/finetune_231RNAs_0_18_6_300_rot_flash.py:
# finetune 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'resume' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# finetuning might cause some issues with the val loss. Either reset best_val_loss during training or just run a defined
# number of iterations.
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '231RNAs'
wandb_run_name = 'triples-finetune'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
pretrained = '231RNAs_triples_0_18_6_300_rot_flash'
basename = '231RNAs_Thermo_triples'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 48
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 2e-5 # with baby networks can afford to go a bit higher
max_iters = 1200000 # early 1277500 # 1269250 is stopping val in train_23S_triples_0_6_6_480.log
lr_decay_iters = 50000 # make equal to max_iters usually, but not always.
min_lr = 2e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Sun Mar  3 14:42:26 2024
grad_clip= 1.0
found vocab_size = 97 (inside /home/ubuntu/software/jamie_rna_llm/data/231RNAs_Thermo_triples_meta.pkl)
Resuming training from /home/ubuntu/software/jamie_rna_llm/out/231RNAs_triples_0_18_6_300_rot_flash.pt
number of parameters: 19.48M
compiling the model... (takes a ~minute)
iter 978750: loss 0.4870, time 50676.01ms, mfu 2.29%
iter 978760: loss 0.3630, time 326.16ms, mfu 2.32%
iter 978770: loss 0.4750, time 327.10ms, mfu 2.34%
iter 978780: loss 0.4552, time 328.07ms, mfu 2.36%
iter 978790: loss 0.4259, time 325.47ms, mfu 2.38%
iter 978800: loss 0.4683, time 326.73ms, mfu 2.40%
iter 978810: loss 0.4714, time 327.61ms, mfu 2.42%
iter 978820: loss 0.4359, time 325.55ms, mfu 2.43%
iter 978830: loss 0.4030, time 325.11ms, mfu 2.45%
iter 978840: loss 0.5068, time 326.99ms, mfu 2.46%
iter 978850: loss 0.4491, time 325.55ms, mfu 2.47%
iter 978860: loss 0.4307, time 327.04ms, mfu 2.48%
iter 978870: loss 0.4407, time 327.04ms, mfu 2.49%
iter 978880: loss 0.5621, time 326.55ms, mfu 2.49%
iter 978890: loss 0.4286, time 328.51ms, mfu 2.50%
iter 978900: loss 0.5058, time 326.72ms, mfu 2.51%
iter 978910: loss 0.4680, time 328.27ms, mfu 2.51%
iter 978920: loss 0.4512, time 326.54ms, mfu 2.52%
iter 978930: loss 0.5954, time 327.11ms, mfu 2.52%
iter 978940: loss 0.3880, time 327.21ms, mfu 2.52%
iter 978950: loss 0.4318, time 327.17ms, mfu 2.53%
iter 978960: loss 0.6398, time 325.87ms, mfu 2.53%
iter 978970: loss 0.4501, time 326.30ms, mfu 2.54%
iter 978980: loss 0.4812, time 327.76ms, mfu 2.54%
iter 978990: loss 0.4753, time 326.84ms, mfu 2.54%
step 979000: train loss 0.4351, val loss 0.5115
iter 979000: loss 0.3586, time 50722.06ms, mfu 2.29%
iter 979010: loss 0.3808, time 327.11ms, mfu 2.32%
iter 979020: loss 0.6176, time 326.06ms, mfu 2.34%
iter 979030: loss 0.5005, time 326.90ms, mfu 2.36%
iter 979040: loss 0.4437, time 326.83ms, mfu 2.38%
iter 979050: loss 0.3746, time 327.74ms, mfu 2.40%
iter 979060: loss 0.3534, time 327.27ms, mfu 2.42%
iter 979070: loss 0.4531, time 325.27ms, mfu 2.43%
iter 979080: loss 0.4347, time 326.04ms, mfu 2.45%
iter 979090: loss 0.4112, time 327.03ms, mfu 2.46%
iter 979100: loss 0.3943, time 326.57ms, mfu 2.47%
iter 979110: loss 0.4749, time 327.54ms, mfu 2.48%
iter 979120: loss 0.4805, time 326.68ms, mfu 2.49%
iter 979130: loss 0.5872, time 325.63ms, mfu 2.49%
iter 979140: loss 0.4283, time 325.72ms, mfu 2.50%
iter 979150: loss 0.4259, time 325.28ms, mfu 2.51%
iter 979160: loss 0.4814, time 328.67ms, mfu 2.51%
iter 979170: loss 0.4425, time 325.67ms, mfu 2.52%
iter 979180: loss 0.4503, time 326.22ms, mfu 2.52%
iter 979190: loss 0.4053, time 326.72ms, mfu 2.53%
iter 979200: loss 0.4098, time 325.81ms, mfu 2.53%
iter 979210: loss 0.4284, time 327.09ms, mfu 2.53%
iter 979220: loss 0.3784, time 327.02ms, mfu 2.54%
iter 979230: loss 0.4665, time 326.46ms, mfu 2.54%
iter 979240: loss 0.4608, time 326.25ms, mfu 2.54%
step 979250: train loss 0.4211, val loss 0.4933
iter 979250: loss 0.4194, time 50610.21ms, mfu 2.29%
iter 979260: loss 0.3990, time 325.66ms, mfu 2.32%
iter 979270: loss 0.4431, time 325.76ms, mfu 2.34%
